iter_mean,iter_sigma2,time_before_elec,upper_bound,lower_bound,cycle
0.4945028949842894,2.778768668318924e-5,59,0.5048348443241836,0.4841709456443952,2010
0.4920267593040051,3.0705803630114174e-5,58,0.5028876715688863,0.4811658470391239,2010
0.4882228976496366,3.11010460127666e-5,57,0.49915348676288407,0.47729230853638915,2010
0.48810794826859255,2.922088852684568e-5,56,0.49870299264625945,0.47751290389092566,2010
0.48541567035992556,3.0143701918031967e-5,55,0.49617671330604896,0.47465462741380215,2010
0.4891167995349441,2.7486379941961672e-5,54,0.4993925806334806,0.4788410184364076,2010
0.48250611403023247,2.888082430005199e-5,53,0.4930393269603445,0.4719729011001204,2010
0.47647613737755173,2.379774652523271e-5,52,0.48603759244732714,0.46691468230777633,2010
0.47524856082464473,2.8912877089021844e-5,51,0.4857876171687956,0.46470950448049386,2010
0.47715244737177753,2.56756315800748e-5,50,0.48708398835382133,0.46722090638973374,2010
0.47270948746599684,3.031859514776162e-5,49,0.48350170295308015,0.4619172719789135,2010
0.4740018821590858,3.0406556180352756e-5,48,0.4848097416244213,0.46319402269375026,2010
0.47037863105740546,2.60412459729374e-5,47,0.4803806333834218,0.4603766287313891,2010
0.4657680779568087,2.902331928857256e-5,46,0.4763272438035496,0.45520891211006775,2010
0.46436056871796055,3.310381491643768e-5,45,0.47563760801837035,0.45308352941755076,2010
0.45800143745438304,2.9403384522360607e-5,44,0.46862951545471315,0.44737335945405293,2010
0.45742849140609887,2.1900605146271838e-5,43,0.46660091555295985,0.4482560672592379,2010
0.45975853453791526,2.5465359544252916e-5,42,0.4696493244570876,0.4498677446187429,2010
0.45972862834318867,2.5372209909819206e-5,41,0.46960131194946114,0.4498559447369162,2010
0.4613330527363689,2.9400818864560906e-5,40,0.4719606670382758,0.4507054384344619,2010
0.46111076383143074,2.612374154420664e-5,39,0.47112859620756004,0.45109293145530144,2010
0.4579608469672054,2.7170234662659363e-5,38,0.4681773617095269,0.4477443322248839,2010
0.45575739577702434,2.5658053207926103e-5,37,0.465685536449052,0.4458292551049967,2010
0.4586841533107263,2.6682374790734373e-5,36,0.46880853037779,0.4485597762436626,2010
0.4590724318789801,2.8440624220727813e-5,35,0.4695250632226346,0.44861980053532563,2010
0.4539783645212253,2.9642376901266482e-5,34,0.464649547918764,0.4433071811236866,2010
0.4549307152519524,2.278576993397343e-5,33,0.4642866659667837,0.4455747645371211,2010
0.45751584598385886,2.5553442462016178e-5,32,0.4674237269158282,0.44760796505188954,2010
0.45781947496206504,2.5107750926064723e-5,31,0.4676405714363682,0.44799837848776186,2010
0.45743423852551857,2.2854401450121845e-5,30,0.4668042688675606,0.44806420818347653,2010
0.4584000650034908,2.4198240062733375e-5,29,0.4680416395131337,0.44875849049384786,2010
0.466212238589905,2.3632195527891834e-5,28,0.47574037809035047,0.45668409908945956,2010
0.4692853610965432,2.429368934694238e-5,27,0.4789459323526964,0.45962478984038996,2010
0.46995012581175827,2.3839190486674103e-5,26,0.4795199029342208,0.4603803486892957,2010
0.47065266914288845,2.571943854820469e-5,25,0.48059267895811414,0.46071265932766275,2010
0.47001991070765775,2.214981904992145e-5,24,0.4792443751832888,0.46079544623202673,2010
0.4618447649107897,2.6572567475579764e-5,23,0.4719482878218434,0.451741241999736,2010
0.4593602681062064,2.6919435363849363e-5,22,0.46952952092506006,0.4491910152873527,2010
0.4596615373940494,2.428594674988325e-5,21,0.46932056907607383,0.450002505712025,2010
0.46512602545303566,2.1638302034024464e-5,20,0.4742433551659455,0.4560086957401258,2010
0.4672347036913703,2.55795770512008e-5,19,0.47714764993352726,0.4573217574492134,2010
0.46577616685300305,3.2238910250287666e-5,18,0.4769049133061084,0.4546474203998977,2010
0.46589178591659486,2.689259267046242e-5,17,0.4760559673397518,0.4557276044934379,2010
0.46090269362217684,2.0098490574475204e-5,16,0.4696896362867732,0.4521157509575805,2010
0.45740310678371077,2.3735306052346842e-5,15,0.4669520099526981,0.44785420361472345,2010
0.453914007976024,2.1576359776445846e-5,14,0.4630182786067332,0.44480973734531476,2010
0.45204897289495166,2.546863814973629e-5,13,0.46194039950166654,0.4421575462882368,2010
0.44599873296727927,2.345273426174666e-5,12,0.45549062550459374,0.4365068404299648,2010
0.4505624300948616,2.4965034492341545e-5,11,0.4603555744574133,0.44076928573230983,2010
0.4515294777353841,2.3450284243690164e-5,10,0.46102087446877166,0.44203808100199654,2010
0.44974101907469455,1.9910668851791702e-5,9,0.4584868080877592,0.4409952300616299,2010
0.45405123797584634,2.1964493112303545e-5,8,0.46323703117731924,0.44486544477437345,2010
0.45963419044436027,2.0184154730195096e-5,7,0.4684398391320787,0.45082854175664183,2010
0.46770745163111266,2.143483201604484e-5,6,0.47678181390472935,0.45863308935749597,2010
0.4693156018014672,2.208659214349106e-5,5,0.47852689119972386,0.46010431240321054,2010
0.46815766668905096,2.165484489789382e-5,4,0.4772784809158483,0.4590368524622536,2010
0.46637132906929507,2.2676271878941904e-5,3,0.47570477248799875,0.4570378856505914,2010
0.46459658180884383,2.0713811948806414e-5,2,0.4735170178958597,0.45567614572182796,2010
0.4595931241011802,2.4391397236339082e-5,1,0.4692731030073101,0.44991314519505027,2010
0.45690266501219023,4.825260764986209e-5,0,0.47051762801425934,0.44328770201012113,2010
0.46298377930045437,7.018369307154593e-6,105,0.4681762514987781,0.4577913071021306,2012
0.4652933020089462,3.0279594537068973e-5,104,0.476078573928263,0.45450803008962937,2012
0.46539404139155294,3.572857464463546e-5,103,0.4771096247041683,0.4536784580789376,2012
0.4640972924810328,4.080766812773208e-5,102,0.476617944935258,0.45157664002680764,2012
0.4641407364337342,3.760646553006211e-5,101,0.47616026213071105,0.4521212107367574,2012
0.46093150435790303,3.717855195508373e-5,100,0.47288245098110615,0.4489805577346999,2012
0.457323904862612,3.71249216671722e-5,99,0.46926622871840357,0.4453815810068204,2012
0.45611382182057725,3.7734595616170996e-5,98,0.4681538061444492,0.4440738374967053,2012
0.4452521143020696,4.029177737538181e-5,97,0.45769337195414267,0.4328108566499966,2012
0.4431617222744491,3.869442135861428e-5,96,0.4553538709403428,0.4309695736085554,2012
0.4529312865159311,3.375177861072849e-5,95,0.4643181575835675,0.44154441544829476,2012
0.4588508490571649,3.715316574261175e-5,94,0.47079771481839355,0.4469039832959362,2012
0.45711440201220693,3.68273053500133e-5,93,0.4690087610211074,0.4452200430033065,2012
0.4575811252366589,3.652005661920344e-5,92,0.46942576324329854,0.44573648723001924,2012
0.46065043253095284,3.3649304409643755e-5,91,0.4720200045466484,0.4492808605152573,2012
0.45646439065949646,3.4445462500188206e-5,90,0.467967681003599,0.44496110031539393,2012
0.4582438505545959,3.685206487469092e-5,89,0.4701422072656133,0.44634549384357847,2012
0.45706680997789867,3.700652506363658e-5,88,0.46899007575051593,0.4451435442052814,2012
0.45174523386297827,3.796085565962031e-5,87,0.46382126065584345,0.4396692070701131,2012
0.4549411651404965,3.669834651060743e-5,86,0.4668146805405433,0.44306764974044965,2012
0.4644108168938114,3.080229149542356e-5,85,0.4752887800767248,0.453532853710898,2012
0.46657798427179487,3.6063606947548566e-5,84,0.478348368821575,0.45480759972201473,2012
0.4684068852302612,3.637866746464501e-5,83,0.4802285724589177,0.4565851980016047,2012
